# Source: https://www.mdais.org/blood-donation/information-drug-blood — columns: Hebrew trade name | English trade name | generic | guideline text | criterion
אונברז	ONBREZ	INDACATEROL	מותר להתרים אם אין קוצר נשימה במאמץ קל ו/או מחלה חריפה	טיפול ב COPD
אונגלייזה	ONGLYZA	SAXAGLIPTIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
אוסטדו	AUSTEDO	DEUTETRABENAZINE	לפנות לסמכות רפואית	לטיפול בתנועות בלתי רצויות
אוסמו אדלט	OSMO ADALAT	NIFEDIPINE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
אוסמו אדלט	OSMO ADALAT	NIFEDIPINE	אסור להתרים	טיפול בבעיות לב
אוספולוט	OSPOLOT	SULTHIAME	אסור להתרים	טיטפול באפילפסיה
אופטלגין	OPTALGIN	DIPYRONE	מותר להתרים	נגד כאבים
אופטלגין	OPTALGIN	DIPYRONE	מותר להתרים לאחר החלמה	נגד חום
אופלודקס	OFLODEX	OFLOXACIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
אופלוקסצין	OFLOXACIN	OFLOXACIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
אופסומיט	OPSUMIT	MACITENTAN	אסור להתרים	טיפול ביתר לחץ דם בעורק ריאתי
אוקליבה	OCALIVA	OBETICHOLIC ACID	אסור להתרים	טיפול בשחמת ראשונית של המרה
אוקסאאר	OCSAAR	LOSARTAN	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
אוקסאאר	OCSAAR	LOSARTAN	אסור להתרים	טיפול בבעיות לב
אוקסופורין	OXOPURIN	PENTOXIFYLLINE	מותר להתרים בהתאם למצב הרפואי	טיפול במחלות כלי הדם
אוקסיס טורבוהלר	OXIS TURBUHALER	FORMOTEROL	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
אוקסיס טורבוהלר	OXIS TURBUHALER	FORMOTEROL	מותר להתרים אם אין קוצר נשימה במאמץ קל ו/או מחלה חריפה	טיפול ב- COPD
אוקסיקוד	OXYCOD	OXYCODONE	מותר להתרים לכאבים אורטופדיים (פריצת דיסק, כאבי גב) במידה וסיבה לא מונעת מתרומה	טיפול בכאבים
אוקסיקונטין	OXYCONTIN	OXYCODONE	מותר להתרים לכאבים אורטופדיים (פריצת דיסק, כאבי גב) במידה וסיבה לא מונעת מתרומה	טיפול בכאבים
אוקרבון	EUCARBON	CHARCOAL, SENNA	מותר להתרים	טיפול בעצירות וגזים
אוראפ פורטה	ORAP FORTE	PIMOZIDE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
אורליט-U	URALIT-U	POTASSIUM SODIUM	מותר להתרים אם תפקודי כליות תקינים ואין דלקת	טיפול באבני כליה
אורמוקס	URAMOX	ACETAZOLAMIDE	אסור להתרים	טיפול באי ספיקת לב
אורמוקס	URAMOX	ACETAZOLAMIDE	אסור להתרים	טיפול בלחץ תוך גולגולתי גבוה
אורמוקס	URAMOX	ACETAZOLAMIDE	מותר להתרים	טיפול בגלאוקומה
אורנסיה	ORENCIA	ABATACEPT	אסור להתרים	טיפול בדלקת פרקים ראומטית פעילה
אורסוליט	URSOLIT	URSODEOXYCHOLIC ACID	אסור להתרים	טיפול במחלות כבד
אורסוליט	URSOLIT	URSODEOXYCHOLIC ACID	מותר להתרים אם תורם אסימפטומתי ואין דלקת	טיפול באבני מרה
אורקמבי	ORKAMBI	,LUMACAFTOR IVACAFTOR	אסור להתרים	טיפול בציסטיק פיברוזיס
אזטרול	EZETROL	EZETIMIBE	מותר להתרים	טיפול בכולסטרול גבוה
אזיטרומיצין	AZITHROMYCIN	AZITHROMYCIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
אזילקט	AZILECT	RASAGILINE	מותר להתרים בהתאם למצבו התורם	טיפול במחלת פרקינסון
אזניל	AZENIL	AZITHROMYCIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
אזקור	EZECOR	EZETIMIBE	מותר להתרים	טיפול בכולסטרול גבוה
אטאקנד	ATACAND	CANDESARTAN	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
