# part2
ניתוח לפרוסקופי	Laparoscopy	מותר להתרים שבוע לאחר החלמה וחזרה לפעילות מלאה אם לא ניתן עירוי דם	אם סיבת הניתוח אינה פוסלת מתרומה
ניתוח מעקפים	Coronary Artery Bypass Surgery	אסור להתרים	
ניתוח עיניים-לייזר	Laser eye surgery	מותר להתרים לאחר החלמה וחזרה לפעילות מלאה מותר להתרים לאחר סיום טיפול אנטיביוטי ואין עדות לדלקת	אם סיבת הניתוח אינה פוסלת מתרומה
ניתוח פתיחת בטן	Laparotomy	מותר להתרים 6 חודשים לאחר הניתוח	אם סיבת הניתוח אינה פוסלת מתרומה
ניתוח פתיחת חזה	Thoracotomy	מותר להתרים 6 חודשים לאחר הניתוח	אם סיבת הניתוח אינה פוסלת מתרומה
ניתוח קוסמטי, פלסטי	Plastic surgery, Cosmetic surgery	מותר להתרים לאחר הוצאת תפרים, החלמה מלאה וחזרה לפעילות מלאה	אם סיבת הניתוח אינה פוסלת מתרומה
ניתוח קיצור קיבה (ניתוח בריאטרי )	Bariatric Surgery	מותר להתרים 6 חודשים לאחר הניתוח	
ניתוח שאיבת שומן	Liposuction	מותר להתרים לאחר הוצאת תפרים, החלמה מלאה וחזרה לפעילות מלאה	
ניתוחים נוירוכירורגיים, ראש	Brain Surgery	לפנות לסמכות רפואית	
נכה בכסא גלגלים	Disabled donor in a wheel chair	ניתן להתרים במידה ויכול לעבור עצמאית למיטת ההתרמה	אפשר להתייעץ עם סמכות רפואית
נכה המשתמש בקביים	Disabled donor walking with crutches	מותר להתרים באתר התרמה נייח, באישור סמכות מקצועית. אין להתרים בקרוואן.	סיכון רב יותר להמטומה בגלל מאמץ יתר על היד
"נשיכה ע""י בע""ח מוכר"	Known animal bite	מותר להתרים-אם בע''ח מחוסן כנגד כלבת, לאחר הגלדת הפצע ו/או ולאחר שהכלב יצא מהסגר (14 יום)	דחייה ל-12 חודשים-אם התורם קיבל חיסון נגד כלבת בעקבות הנשיכה
"נשיכה ע""י בע''ח זר"	Foreign animal bite	דחייה לחודשיים לאחר הנשיכה והחלמת הפצע	דחייה ל-12 חודשים-אם התורם קיבל חיסון נגד כלבת בעקבות הנשיכה
נשיכות אדם	Human Bite	מותר להתרים 12 חודשים לאחר הנשיכה	
נשיכת חרק	Insect Bite	מותר להתרים לאחר החלמה	
סוכרת	Diabetes Mellitus	מותר להתרים אם מאוזן ולא מטופל באינסולין	
סוכרת תפלה	Diabetes Insipidus	אסור להתרים	
סחרחורות, ורטיגו	Vertigo	יש לבדוק סיבה. מותר להתרים לאחר סיום הטיפול והחלמה	
סטומה (איליוסטומיה, גסטרוסטומיה, קולוסטומיה)	Stoma(leostomy, Gastrostomy, Colostomy)	אסור להתרים	
סינוסיטיס	Sinusitis	דלקת חריפה: מותר להתרים 3 ימים לאחר סיום טיפול אנטיביוטי והחלמה מלאה. דלקת כרונית: מותר להתרים אם התורם אסימפטומטי	
סלמונלה	Salmonella infection	מותר להתרים שבוע לאחר החלמה	
ספורט אתגרי	Adventures sports	אסור להתרים 12 שעות לפני פעילות	
ספרוציטוזיס	Spherocytosis	מותר להתרים אם המוגלובין תקין	
סקלרודרמה	Scleroderma	אסור להתרים	
סקלרוזיס סיסטמית	Progressive Systemic Sclerosis	אסור להתרים	
סקרלטינה, שנית	Scarlet Fever	מותר להתרים שבוע לאחר החלמה	
סרקואידוזיס	Sarcoidosis	אסור להתרים	
סתימה בשן	Tooth filling	מותר להתרים 24 שעות לאחר הטיפול	
עגבת, סיפיליס	Syphilis	מותר להתרים שנה לאחר סיום הטיפול	
עגילים באוזניים	Ear piercing	מותר להתרים אם  הניקוב נעשה באמצעות ''אקדח'' ואין דלקת מקומית	
עישון סמים	Drugs smoking	אסור להתרים תחת השפעת הסם	
עקיצת דבורה	Bee Stings	מותר להתרים 24 שעות לאחר העקיצה במידה ואין תופעות לוואי	
עקיצת קרציה	Tick Bite	מותר להתרים שבועיים לאחר העקיצה אם אין לתורם חום, פריחה, כאבי פרקים	
עקירת שן לא כירורגית	Tooth extraction	מותר להתרים 7 ימים לאחר הטיפול	יש לוודא שאין דימום, אינו במעקב ולא מקבל אנטיביוטיקה
פגיעת ראש	Head Injury	מותר להתרים שנה לאחר החלמה מלאה, ללא טיפול או מעקב רפואי  ובתנאי שאין מגבלות כלשהן	אם קיבל טיפול נגד התכווצויות-ראה איפלפסיה
פולימיאלגיה ראומטיקה	Polymyalgia Rheumatica	אסור להתרים	
פוליצטמיה שניונית, משפחתית	Secondary Polycythemia	לפנות לסמכות רפואית	
פוליציטמיה ורה	Polycythemia Vera	אסור להתרים	
פורפיריה	Porphyria	אסור להתרים	
פיברואדנומה	Fibroadenoma	מותר להתרים	
פיברואוס דיספלזיה	Fibrous Dysplasia	לפנות לסמכות רפואית	
פיברומיאלגיה	Fibromyalgia	מותר להתרים	
פיברומיוזיטיס	Fibromyositis	מותר להתרים	
פילריאזיס	Filariasis	אסור להתרים	
פירסינג	Body piercing	דחייה ל- 4 חודשים	
פמפיגוס וולגריס	Pemphigoid / Pemphigus Vulgaris	אסור להתרים	
פסאודוטומור צרברי, PTC	Pseudotumor cerebri	מותר להתרים אם לחץ תוך גולגולתי תקין ולא מקבל טיפול	באישור סמכות רפואית
פסוריאזיס	Psoriasis	מותר להתרים במידה ולא מפושט, אזור התרומה נקי, ובתנאי שהתרופות שמקבל מאפשרות תרומה	
פעילות יתר של בלוטת התריס	Hyperthyroidism	מותר אם מאוזן מבחינת תפקוד הבלוטה במשך 6 חודשים אחרונים	
פעילות-יתר של בלוטת יותרת התריס	Hyperparathyroidism	יש להתייעץ עם סמכות רפואית	
פעימות חדריות מוקדמות	VPB's	מותר להתרים אם תורם אסימפטומטי, ללא טיפול תרופתי, ללא בעיות לב בעבר	
פצע מוגלתי	Boils	מותר להתרים לאחר החלמה	
פצע קור	Cold Sores	מותר להתרים לאחר החלמה	
פצעי בגרות, אקנה	Acne	מותר להתרים אם אין עדות לזיהום משני ובתנאי שהתרופות שמקבל מאפשרות תרומה	טיפול אנטיביוטי מניעתי אינו מונע תרומה
פקטור 5 ליידן	Factor V Leiden	מותר להתרים אם לא היו אירועים טרומבוטים (קרישי דם) חוזרים בעבר	
פקקת וריד עמוק, DVT	Deep Vein Thrombosis	מותר להתרים חודש לאחר סיום טיפול תרופתי.  אסור להתרים ביד בה היתה פקקת בוריד אקסילרי.	ניתן להתרים במידה ומקבל אספירין
פרק זמן בין תרומת דם מלא לדם מלא	Interval between whole blood donations	3 חודשים	גברים: עד שבועיים לפני כשהמוגלובין מעל  13.5. נשים: עד שבוע לפני כשהמוגלובין מעל  12.5
פרק זמן בין תרומת דם מלא לפרזיס	Interval between whole blood donation and apheresis	4 שבועות	במקרים מיוחדים ועל פי הרשאה מסמכות רפואית בבנק הדם ניתן לשנות את פרקי הזמן המפורטים.
פרק זמן בין תרומת פרזיס לדם מלא	Interval between apheresis and whole blood donation	4 שבועות	במקרים מיוחדים ועל פי הרשאה מסמכות רפואית בבנק הדם ניתן לשנות את פרקי הזמן המפורטים.
פרק זמן בין תרומת פרזיס לפרזיס	Interval between apheresis donations	4 שבועות	במקרים מיוחדים ועל פי הרשאה מסמכות רפואית בבנק הדם ניתן לשנות את פרקי הזמן המפורטים.
ציטומגלווירוס	CMV	מותר להתרים 6 חודשים לאחר החלמה מלאה	
ציסטה פילונידלית, PNS	Pilonidal Cysts	מותר להתרים לאחר תיקון והחלמה	
ציסטה של השחלה	Ovarian Cysts	אפשר להתרים אם אין חשד לממאירות	
ציסטיטיס	Cystitis	מותר להתרים 3 ימים לאחר החלמה וסיום טיפול אנטיביוטי	
ציסטיק פיברוזיס, סיסטיק פיברוזיס	Cystic Fibrosis	אסור להתרים	
צ'יקונגוניה נגיף	Chikungunia virus	מותר להתרום 4 חודשים לאחר החלמה	
צלילה	Diving	אסור להתרים 12 שעות לפני צלילה	
צליעה אינטרמיטנטית	Intermittent Claudication	אסור להתרים	
צניחת מסתם מיטרלי, MVP	Mitral Valve Prolapse	מותר להתרים אם התורם אסימפטומטי, אין הפרעות קצב, אין הגבלות בפעילות גופנית	
צנתור הלב	Cardiac catheterization	מותר להתרים 6 שבועות לאחר צנתור אבחנתי ללא ממצא פתולוגי	
צרבת	Heartburn	מותר להתרים	
קבלת עירוי דם או מרכיבי דם	Receiving a blood transfusion	דחייה ל- 4 חודשים	
קדחת דנגה	Dengue Fever	מותר להתרים  4 חודשים לאחר החלמה	
קדחת הכתמים של הרי הרוקי	Rocky Mountain Spotted Fever	מותר להתרים שבוע לאחר החלמה	
קדחת המערות	Relapsing Fever	מותר להתרים 6 חודשים אחרי החלמה	
קדחת הנילוס המערבי	West Nile Virus	מותר להתרים לאחר 4 חודשים מתחילת הסימנים	
קדחת השחת	Hay Fever	מותר להתרים	
קדחת ים תיכונית	FMF	מותר להתרים אם אין פגיעה בתיפקוד הכלייתי ולא טופל בקולכיצין ב 24 שעות שלפני התרומה	
קדחת צהובה	Yellow fever	מותר להתרים חודשיים לאחר החלמה	
קדחת קיו	Q-Fever	מחלה חריפה-  מותר להתרים שנתיים לאחר החלמה. אסור להתרים אם המחלה כרונית	
קדחת ראומטית	Rheumatic Fever	מותר להתרים שנתיים לאחר החלמה, ללא טיפול אנטיביוטי קבוע ובהיעדר פגיעה מסתמית.	מותר להתרים אם מקבל טיפול אנטיביוטי מונע  לפני טיפול שיניים נרחב
קוניזציה	Conization	מותר להתרים שבוע לאחר החלמה וחזרה לפעילות מלאה ותוצאה תקינה בבדיקה הפתולוגית	
קוצב לב	Pacemaker	אסור להתרים	
קטפלקסיה	Cataplexy	אסור להתרים	
קטרקט	Cataract surgery	מותר להתרים לאחר החלמה וחזרה לפעילות מלאה	
קיסוס ארסי	Poison Ivy	מותר להתרים אם אין פציעה ואין תסמינים נוספים	
קלמידיה	Chlamydia	מותר להתרים שבוע אחרי טיפול והחלמה מלאה	
קנאביס רפואי	Cannabis	אסור להתרים תחת השפעת הסם	
קנדידה	Candidiasis	מותר להתרים שבוע אחרי טיפול סיסטמי והחלמה מלאה. אם וגינלי-מותר להתרים במידה ומקבלת טיפול מקומי בלבד.	אסור להתרים אם הסיבה אינה ידועה או קשור בפגיעה במערכת החיסון.
קעקוע, כתובת קעקע	Tattoo	דחייה ל-4 חודשים	
קצרת, אסטמה	Asthma	מותר להתרים אם התורם ללא קוצר נשימה, לא היה התקף חריף בשבוע האחרון, אינו מטופל בסטרואידים דרך הפה ואין התקפים חוזרים לעיתים תכופות.	מותר להתרים גם אם מקבל טיפול מונע במשאפים
קרדיומיופתיה	Cardiomyopathy	אסור להתרים	
קרישיות יתר, טרומבופיליה, תרומבופיליה	Thrombophilia	מותר להתרים אם לא מקבל טיפול תרופתי קבוע ולא היו ארועים טרומבוטיים (קרישי דם) חוזרים.	
קרצינומה לא פולשנית של צוואר הרחם	Carcinoma-in-situ of the cervix	מותר להתרים לאחר השלמת טיפול	
קשירת צינור הזרע	Vasectomy	מותר להתרים שבוע לאחר החלמה וחזרה לפעילות מלאה	אם סיבת הניתוח אינה פוסלת מתרומה
רדמת, נרקולפסיה	Narcolepsy	אסור להתרים	
רפלוקס קיבתי-ושטי	Reflux, Gastroesophageal	מותר להתרים	
שבר בעצם	Broken Bone	אסור להתרים עד להסרת הגבס ואיחוי מלא של כל השברים	
שהייה/מגורים בארץ אנדמית למלריה	Residence in malaria endemic areas	מותר להתרים  3 שנים לאחר עזיבת האזור האנדמי	שהייה: מעל 6  חודשים
שומנים גבוהים בדם, היפרליפידמיה	Hyperlipidemia	מותר להתרים	
שושנה	Erysipelas	מותר להתרים שבוע לאחר סיום אנטיביוטיקה והחלמה מלאה	מותר להתרים אם מקבל טיפול אנטיביוטי מונע
שושנת יריחו	Leishmaniasis	"מותר להתרים לאחר החלמת הפצע, במידה ויש צלקת אחת או שתיים. אסור להתרים: 1) נגעים רבים, 2) נדבק בחו""ל, 3) Kala-Azar"	יש להתרים בשקית עם פילטר
שחמת, צירוזיס	Cirrhosis	אסור להתרים	
שחפת	Tuberculosis	מותר להתרים שנתיים לאחר החלמה	
שחפת - טיפול מונע	TuberculosisPreventive Treatment	מותר להתרים 6 חודשים לאחר סיום הטיפול	
שחפת - טיפול מונע	TuberculosisPreventive Treatment	מותר להתרים שנה לאחר החשיפה אם טיפול מונע לא הושלם	
שיגדון, גאוט	Gout	מותר להתרים, אם לא טופל בקולכיצין ב – 24 שעות לפני התרומה	
שיגלה	Shigella	מותר להתרים שבוע לאחר החלמה	
"שימוש בסמים בהזרקה או""הסנפה"""	Use of illegal  drugs (narcotics) intravenously or by nasal inhalation	אסור להתרים	
שינוי מין	Gender change	לפנות לסמכות רפואית	
שיתוק ילדים (פוליו, פוליומיאליטיס)	Poliomyelitis	מותר להתרים לאחר החלמה ובתנאי שאין שיתוק מלא	
שיתוק מוחי, CP	Cerebral Palsy	לפנות לסמכות רפואית	
שיתוק עצב הפנים, פציאליס	Bell's Palsy	מותר להתרים אם שיתוק של עצב הפנים בלבד ואינו נוטל טיפול תרופתי	
שלבקת חוגרת, הרפס זוסטר	Herpes zoster	מותר להתרים שבוע לאחר העלמות הנגעים	
שלבקת פשוטה, הרפס הפה	Herpes Simplex	מותר להתרים לאחר העלמות הנגעים, אסור להתרים אם יש נגעים בפה	
שלשולים	Diarrhea	מותר להתרים שבוע לאחר החלמה	
שעלת	Pertussis	מותר להתרים לאחר החלמה מלאה. דחייה ל - 4 שבועות לאחר החשיפה אם התורם לא מחוסן, או שלא חלה בעבר	
שפעת	Flu	חום מעל 38 C – מותר להתרים שבועיים לאחר החלמה מלאה	
שפעת החזירים - חשיפה	Swine Influenza - contact	מותר להתרים אם חש בטוב ולא פיתח תסמינים של שפעת/חום	
שפעת החזירים -מחלה	Swine Influenza - disease	מותר להתרים 7 ימים לאחר ירידת החום (חזרה  ל - 36.8)	
שפעת העופות - חשיפה	Avian Influenza - contact	מותר להתרים 7 ימים לאחר חשיפה	"מגע עם עופות  או בע""ח חולה אחר באיזור נגוע עד 3 ק""מ ממוקד ההתפרצות, מגע עם חולה או דגימות דם חשודות"
שפעת העופות - מחלה	Avian Influenza - disease	מותר להתרים  שבועיים לאחר החלמה מלאה.	
שריטת חתול	Cat Scratch	מותר להתרים שבועיים לאחר האירוע, בתנאי שהתורם אסימפטומתי	
תאונה	Accident	.מותר להתרים לאחר החלמה מלאה והתורם שוחרר ממעקב	במקרים של פגיעת ראש, ראה פגיעת ראש
תגובה  בינונית חריגה לתרומות בעבר	Moderate adverse reaction to blood donation	עלפון עם משך התאוששות קצר מ15 דקות-מותר להתרים	יש לבצע  השגחה צמודה במשך ההתרמה ולפחות חצי שעה לאחריה, רצוי להרים רגליים בזמן התרומה
תגובה  קלה חריגה לתרומות בעבר	Mild adverse reaction to blood donation	חוורון, סחרחורת, בחילה, הקאה, ירידת לחץ דם, האטה בקצב הלב-מותר להתרים	יש לבצע השגחה צמודה במשך ההתרמה ולפחות חצי שעה לאחריה, רצוי להרים רגליים בזמן התרומה
תגובה  קשה חריגה לתרומות בעבר	Severe adverse reaction to blood donation	התכווצויות, טטניה, אובדן שליטה על סוגרים, כחלון עם או ללא התעלפות-אסור להתרים	
תגובה אלרגית לפנצילין	Allergy to penicillin	מותר להתרים לאחר 12 חודשים	
תגובה אנפילקטית, שוק אנפילקטי, אנפילקסיס	History of anaphylaxis	אסור להתרים	
תלסמיה - נשאות	Thalassemia Trait	מותר להתרים אם המוגלובין תקין	
תלסמיה מייג'ור	Thalassemia Major	אסור להתרים	
תלסמיה מינור	Thalassemia Minor	מותר להתרים אם רמת ההמוגלובין תקינה	
תסחיף	Embolism	מותר להתרים 6 חודשים לאחר החלמה	ובתנאי שלא מקבל נוגדי קרישה
תסחיף ריאתי	Pulmonary Embolism	מותר להתרים שנה לאחר החלמה ובתנאי שלא מקבל נוגדי קרישה	
תסמונת  WPW	Wolf-Parkinson-White Syndrome	מותר להתרים אם עברה שנה אחרי אבלציה מוצלחת, תורם אסימפטומטי ואינו במעקב	
תסמונת  רייטר	Reiter's Syndrome	אסור להתרים	
תסמונת APLA	APLA Syndrome	אסור להתרים	
תסמונת CREST	CREST Syndrome	אסור להתרים	
תסמונת ג'ילבר	Gilbert's Syndrome	מותר להתרים	
תסמונת גיליאן-בארה	Guillain-Barre Syndrome	מותר להתרים שנתיים לאחר החלמה	
תסמונת דאון	Down's Syndrome	מותר להתרים אם מבין את משמעות תהליך תרומת הדם	
תסמונת דרסלר	Dressler's Syndrome	אסור להתרים	
תסמונת הנוך שונליין פורפורה	Henoch-Schonlein Purpura	מותר להתרים לאחר החלמה מלאה בתנאי שאין מחלה כלייתית	
תסמונת הרלס דנלוס	Ehlers Danlos Syndrome	אסור להתרים	
תסמונת התעלה הקרפלית	Carpal Tunnel Syndrome	מותר להתרים	
תסמונת טורט	Tourette Syndrome	מותר להתרים אם תנועות בלתי רצוניות לא מפריעות להתרמה	
תסמונת מרפן	Marfan's Syndrome	לפנות לסמכות רפואית	
תסמונת סיוגרן	Sjogren's Syndrome	אסור להתרים	
תסמונת קושינג	Cushing Syndrome	אסור להתרים	אפשר להתייעץ עם סמכות רפואית
תסמונת קלינפלטר	Klinefelter's Syndrome	מותר להתרים	
תסמונת ריינו/מחלת ריינו	(Raynaud's Disease (Phenomenon	אסור להתרים	
תסמונת תשישות כרונית	Chronic Fatigue Syndrome	אסור להתרים	
תעוקת חזה	Angina Pectoris	אסור להתרים	
תרומבוציטוזיס (טרומבוציטוזיס) ראשונית	Essential Thrombocytosis	אסור להתרים	
תרומבוציטופניה(טרומבוציטופניה) אימונית, ITP	(Idiopathic Thrombocytopenic Purpura (ITP	מותר להתרים אם חלה בילדות (לפני גיל 13) ואין חזרה של המחלה	
תרומה עצמית	Autologus blood donation	מתבצעת במש''ד, בירושלים וחיפה. יש לתאם את התרומה עם צוות שירותי הדם	"יש לקבל אישור מסמכות רפואית במש""ד ולפעול לפי נוהל PLB 104  ""תרומת דם עצמית"""
תרומת דם לפני ניתוח	Blood donation prior to surgery	מותר להתרים חודש לפחות לפני ניתוחים מתוכננים, אם סיבת הניתוח אינה פוסלת מתרומה.	למעט תרומה עצמית
תרומת כליה	Kidney donation	מותר להתרים 6 חודשים לאחר התרומה ובתנאי שתפקודי הכליה תקינים.	
תרומת מח עצם	Bone marrow donation	מותר להתרים 3 חודשים לאחר תרומת מח עצם	
תת-סוכר בדם, היפוגליקמיה	Hypoglycemia	מותר להתרים בתנאי שהתורם אכל לפני תרומה ובאישור מסמכות רפואית.	
תת-פעילות בלוטת התריס	Hypothyroidism	מותר אם מאוזן מבחינת תפקוד הבלוטה במשך 6 חודשים אחרונים	
תת-פעילות של בלוטת יותרת התריס	Hypoparathyroidism	יש להתייעץ עם סמכות רפואית	
