בוצואנה	Botswana	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון במחוזות/תתי מחוזות של Bobirwa, Boteti, Chobe (כולל Chobe National Park), Ghanzi, Mahalapaye, Ngamiland (Ngami), Northeast (כולל Francistown), Okavango, Serowe Palapye and Tutume אין סיכון ב Gaborone.
בורונדי	Burundi	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
בורקינה פאסו	Burkina Faso	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
בחריין	Bahrain	נגיף קורונה (MERS)	ביקור - דחייה לשבועיים	
בליז	Belize	איידס	ביקור/שהייה - דחייה ל-3 חודשים	
בליז	Belize	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	אין סיכון ב- Belize City ואזורים תיירותיים באיים.
בנגלדש	Bangladesh	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
בנגלדש	Bangladesh	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון במחוזות Chittagong Hill Tract (Bandarban, Rangamati, ו- Khagrachari); ומחוזות של Chattogram (Chittagong), Cox’s Bazar, Habiganj, Kurigram, Moulvibazar, Mymensingh, Netrakona, Sherpur, Sunamganj, ו- Sylhet. אין סיכון בעיר Dhaka.
בנין	Benin	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
ברבדוס	Barbados	איידס	ביקור /שהייה - דחייה ל-3 חודשים.	
ברוניי דארוסלאם	Brunei Darussalam	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
ברזיל	Brazil	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
ברזיל	Brazil	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון בכל האזורים במדינות: Acre, Amapa, Amazonas, Rondonia, Roraima, Maranhão, Mato Grosso, ו- Para. אין סיכון בערים: Brasilia, Rio de Janeiro, São Paulo, São Luis, Cuiabá, Belém וב- Iguaçu Falls.
גאנה	Ghana	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
גבון	Gabon	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
גואדלופ	Guadeloupe	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
גואטמלה	Guatemala	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
גואטמלה	Guatemala	מלריה	ביקור - דחייה ל 12 חודשים, עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון בפרובינציות של Alta Verapaz, Baja Verapaz, Escuintla, Izabal, and Petén. אין סיכון ב Antigua, Guatemala City, or Lake Atitlan.
גויאנה (גיאנה)	Guyana	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
גיאנה הצרפתית	French Guiana	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
גיאנה הצרפתית	French Guiana	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	אין סיכון בחוף Kourou ועיר Cayenne
ג'יבוטי	Djibouti	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
גינאה	Guinea	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
גינאה המשוונית	Equatorial Guinea	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
גינאה-ביסאו	Guinea Bissau	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
גמבייה	Gambia	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
ג'מייקה	Jamaica	איידס	ביקור/שהייה - דחייה ל-3 חודשים.	
גרנדה	Grenada	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
דומיניקה	Dominica	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
דרום אפריקה	South-Africa	איידס	ביקור/שהייה - דחייה ל-3 חודשים	
דרום אפריקה	South-Africa	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון לאורך הגבול עם זימבבואה ומוזמביק, במיוחד ב: מחוזות Mopani and Vhembe בפרובינציית Limpopo, מחוז Ehlanzeni בפרובינציית Mpumalanga, מחוז Umknanyakude בפרובינציית Kwazulu-Natal והפארק הלאומי ב Kruger.
דרום סודן	South Sudan	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
האיטי	Haiti	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
האיים המלדיביים	Republic of Maldives	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
הודו	India	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
הונדורס	Honduras	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
